"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@es"
"tcp_cu_tax10_sale","1","10% TCP SALES","10% TCP SALES","10% TCP SALES (BASE)","False","10.0","percent","sale","cu_tax_group_sale","","base","invoice","","","100","10% VENTAS TCP (BASE)"
"","","","","","","","","","","","tax","invoice","","account_tcp_8101000","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_tcp_8101000","100",""
"tcp_cu_tax10_sale_reverse","2","10% TCP SALES","10% TCP SALES","10% TCP SALES (REVERSE)","False","-10.0","percent","none","cu_tax_group_sale","","base","invoice","","","100","10% VENTAS TCP (INVERSA)"
"","","","","","","","","","","","tax","invoice","","account_common_8050000","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_common_8050000","100",""
"tcp_cu_tax10_sale_all","3","10% TCP SALES","10% TCP SALES","10% TCP SALES (GROUP)","False","0.0","group","sale","cu_tax_group_sale","","","","","","","10% VENTAS TCP (IMPUESTO)"
"tcp_cu_tax0_sale","4","0% TCP SALES","0% TCP SALES","0% TCP SALES (BASE)","False","0.0","percent","sale","cu_tax_group_sale","True","base","invoice","","","100","0% TCP (VENTAS)"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
"private_cu_tax1_sale","10","1% PRIVATE SALES","1% PRIVATE SALES","1% PRIVATE SALES (BASE)","False","1.0","percent","sale","cu_tax_group_sale","","base","invoice","","","100","1% VENTAS PRIVADO-COOPERATIVO (BASE)"
"","","","","","","","","","","","tax","invoice","","account_private_4400104","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_private_4400104","100",""
"private_cu_tax10_sale","11","10% PRIVATE SALES","10% PRIVATE SALES","10% PRIVATE SALES (BASE)","False","10.0","percent","sale","cu_tax_group_sale","","base","invoice","","","100","10% VENTAS PRIVADO-COOPERATIVO (BASE)"
"","","","","","","","","","","","tax","invoice","","account_private_4400102","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_private_4400102","100",""
"private_cu_tax1_sale_reverse","12","1% PRIVATE SALES","1% PRIVATE SALES","1% PRIVATE SALES (REVERSE)","False","-1.0","percent","none","cu_tax_group_sale","","base","invoice","","","100","1% VENTAS PRIVADO-COOPERATIVO (INVERSA)"
"","","","","","","","","","","","tax","invoice","","account_common_8050000","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_common_8050000","100",""
"private_cu_tax10_sale_reverse","13","10% PRIVATE SALES","10% PRIVATE SALES","10% PRIVATE SALES (REVERSE)","False","-10.0","percent","none","cu_tax_group_sale","","base","invoice","","","100","10% VENTAS PRIVADO-COOPERATIVO (INVERSA)"
"","","","","","","","","","","","tax","invoice","","account_common_8050000","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","account_common_8050000","100",""
"private_cu_tax1_sale_all","14","1% PRIVATE SALES","1% PRIVATE SALES","1% PRIVATE SALES (GROUP)","False","0.0","group","sale","cu_tax_group_sale","","","","","","","1% VENTAS PRIVADO-COOPERATIVO (IMPUESTO)"
"private_cu_tax10_sale_all","15","10% PRIVATE SALES","10% PRIVATE SALES","10% PRIVATE SALES (GROUP)","False","0.0","group","sale","cu_tax_group_sale","","","","","","","10% VENTAS PRIVADO-COOPERATIVO (IMPUESTO)"
"private_cu_tax0_sale","16","0% PRIVATE SALES","0% PRIVATE SALES","0% PRIVATE SALES (BASE)","False","0.0","percent","sale","cu_tax_group_sale","True","base","invoice","","","100","0% PRIVADO-COOPERATIVO (VENTAS)"
"","","","","","","","","","","","tax","invoice","","","100",""
"","","","","","","","","","","","base","refund","","","100",""
"","","","","","","","","","","","tax","refund","","","100",""
