"id","code_prefix_start","name","name@lv"
"l10n_lv_group_1","1","Active","Activos"
"l10n_lv_group_100_01","100.01","Short-term assets","Activo a corto plazo"
"l10n_lv_group_101","101","Cash","Caja"
"l10n_lv_group_101_01","101.01","Cash in hand","Caja y efectivo"
"l10n_lv_group_102","102","Bank","Banco"
"l10n_lv_group_102_01","102.01","National banks","Bancos nacionales"
"l10n_lv_group_102_02","102.02","Foreign banks","Bancos extranjeros"
"l10n_lv_group_103","103","Investments","Inversiones"
"l10n_lv_group_103_01","103.01","Temporary investments","Inversiones temporales"
"l10n_lv_group_103_02","103.02","Investments in trusts","Inversiones en fideicomisos"
"l10n_lv_group_103_03","103.03","Other investments","Otras inversiones"
"l10n_lv_group_104","104","Other financial instruments","Otros instrumentos financieros"
"l10n_lv_group_104_01","104.01","Other financial instruments","Otros instrumentos financieros"
"l10n_lv_group_105","105","Clients","Clientes"
"l10n_lv_group_105_01","105.01","National customers","Clientes nacionales"
"l10n_lv_group_105_02","105.02","Foreign customers","Clientes extranjeros"
"l10n_lv_group_105_03","105.03","National customers related party","Clientes nacionales parte relacionada"
"l10n_lv_group_105_04","105.04","Foreign customers related party","Clientes extranjeros parte relacionada"
"l10n_lv_group_106","106","Short-term accounts and notes receivable","Cuentas y documentos por cobrar a corto plazo"
"l10n_lv_group_106_01","106.01","Domestic short-term accounts and notes receivable","Cuentas y documentos por cobrar a corto plazo nacional"
"l10n_lv_group_106_02","106.02","Foreign short-term accounts and notes receivable","Cuentas y documentos por cobrar a corto plazo extranjero"
"l10n_lv_group_106_03","106.03","Domestic short-term accounts and notes receivable related party","Cuentas y documentos por cobrar a corto plazo nacional parte relacionada"
"l10n_lv_group_106_04","106.04","Foreign short-term accounts and notes receivable foreign related party","Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada"
"l10n_lv_group_106_05","106.05","Short-term interest receivable domestic","Intereses por cobrar a corto plazo nacional"
"l10n_lv_group_106_06","106.06","Foreign short-term interest receivable","Intereses por cobrar a corto plazo extranjero"
"l10n_lv_group_106_07","106.07","Short-term interest receivable domestic related party","Intereses por cobrar a corto plazo nacional parte relacionada"
"l10n_lv_group_106_08","106.08","Foreign short-term interest receivable foreign related party","Intereses por cobrar a corto plazo extranjero parte relacionada"
"l10n_lv_group_106_09","106.09","Other short-term accounts and notes receivable","Otras cuentas y documentos por cobrar a corto plazo"
"l10n_lv_group_106_10","106.10","Other short-term accounts and notes receivable related party","Otras cuentas y documentos por cobrar a corto plazo parte relacionada"
"l10n_lv_group_107","107","Sundry debtors","Deudores diversos"
"l10n_lv_group_107_01","107.01","Officials and employees","Funcionarios y empleados"
"l10n_lv_group_107_02","107.02","Partners and shareholders","Socios y accionistas"
"l10n_lv_group_107_03","107.03","National related parties","Partes relacionadas nacionales"
"l10n_lv_group_107_04","107.04","Foreign related parties","Partes relacionadas extranjeros"
"l10n_lv_group_107_05","107.05","Other sundry debtors","Otros deudores diversos"
"l10n_lv_group_108","108","Allowance for doubtful accounts","Estimación de cuentas incobrables"
