id,code_prefix_start,name,name@es_ES
account_group_template_activos_circulantes,10,ACTIVOS CIRCULANTES,ACTIVOS CIRCULANTES
account_group_template_101_108,101,Efectivo en Caja,Efectivo en Caja
account_group_template_109_119,109,Efectivo en Banco y en Otras Instituciones,Efectivo en Banco y en Otras Instituciones
account_group_template_120_129,120,Inversiones a Corto Plazo o Temporales,Inversiones a Corto Plazo o Temporales
account_group_template_130_133,130,Efectos por Cobrar a Corto Plazo,Efectos por Cobrar a Corto Plazo
account_group_template_134_134,134,Cuenta en Participación,Cuenta en Participación
account_group_template_135_139,135,Cuentas por Cobrar a Corto Plazo,Cuentas por Cobrar a Corto Plazo
account_group_template_140_140,140,Pagos por Cuenta de Terceros,Pagos por Cuenta de Terceros
account_group_template_141_141,141,Participación de Reaseguradores por Siniestros Pendientes,Participación de Reaseguradores por Siniestros Pendientes
account_group_template_142_142,142,Préstamos y Otras Operaciones Crediticias a Cobrar a Corto Plazo,Préstamos y Otras Operaciones Crediticias a Cobrar a Corto Plazo
account_group_template_143_143,143,Suscriptores de Bonos,Suscriptores de Bonos
account_group_template_144_144,144,Bonos Emitidos en Cartera,Bonos Emitidos en Cartera
account_group_template_146_149,146,Pagos Anticipados a Suministradores,Pagos Anticipados a Suministradores
account_group_template_150_152,150,Pagos Anticipados del Proceso Inversionista,Pagos Anticipados del Proceso Inversionista
account_group_template_153_153,153,Materiales Anticipados del Proceso Inversionista,Materiales Anticipados del Proceso Inversionista
account_group_template_161_163,161,Anticipos a Justificar,Anticipos a Justificar
account_group_template_164_166,164,Adeudos del Presupuesto del Estado,Adeudos del Presupuesto del Estado
account_group_template_167_170,167,Adeudos del Órgano u Organismo,Adeudos del Órgano u Organismo
account_group_template_173_180,173,Ingresos Acumulados por Cobrar,Ingresos Acumulados por Cobrar
account_group_template_181_181,181,Dividendos y Participaciones por Cobrar,Dividendos y Participaciones por Cobrar
account_group_template_182_182,182,Ingresos Acumulados por Cobrar - Reaseguros Aceptados,Ingresos Acumulados por Cobrar - Reaseguros Aceptados
account_group_template_183_183,183,Materias Primas y Materiales,Materias Primas y Materiales
account_group_template_184_184,184,Combustibles y Lubricantes,Combustibles y Lubricantes
account_group_template_185_185,185,Partes y Piezas de Repuesto,Partes y Piezas de Repuesto
account_group_template_186_186,186,Envases y Embalajes,Envases y Embalajes
account_group_template_187_187,187,Útiles,Útiles
account_group_template_188_188,188,Producción Terminada,Producción Terminada
account_group_template_189_189,189,Mercancías para la Venta,Mercancías para la Venta
account_group_template_190_190,190,Medicamentos,Medicamentos
account_group_template_191_191,191,Base Material de Estudio,Base Material de Estudio
account_group_template_192_192,192,Vestuario y Lencería,Vestuario y Lencería
account_group_template_193_193,193,Alimentos,Alimentos
account_group_template_194_194,194,Inventarios de Mercancías de Importación,Inventarios de Mercancías de Importación
account_group_template_195_195,195,Inventarios de Mercancías de Exportación,Inventarios de Mercancías de Exportación
account_group_template_196_196,196,Producción para Insumo o Autoconsumo,Producción para Insumo o Autoconsumo
account_group_template_205_207,205,Otros Inventarios,Otros Inventarios
account_group_template_208_208,208,Inventarios Ociosos,Inventarios Ociosos
account_group_template_209_209,209,Inventarios de Lento Movimiento,Inventarios de Lento Movimiento
account_group_template_211_211,211,Créditos Documentarios,Créditos Documentarios
account_group_template_activo_largo_plazo,21,ACTIVO A LARGO PLAZO,ACTIVO A LARGO PLAZO
account_group_template_215_217,215,Efectos por Cobrar a Largo Plazo,Efectos por Cobrar a Largo Plazo
account_group_template_218_220,218,Cuentas por Cobrar a Largo Plazo,Cuentas por Cobrar a Largo Plazo
account_group_template_221_224,221,Préstamos Concedidos a Cobrar a Largo Plazo,Préstamos Concedidos a Cobrar a Largo Plazo
account_group_template_225_234,225,Inversiones a Largo Plazo o Permanentes,Inversiones a Largo Plazo o Permanentes
account_group_template_activos_fijos,24,ACTIVOS FIJOS,ACTIVOS FIJOS
account_group_template_240_251,240,Activos Fijos Tangibles,Activos Fijos Tangibles
account_group_template_252_252,252,Fondos Bibliotecarios,Fondos Bibliotecarios
account_group_template_253_253,253,Medios y Equipos para Alquilar,Medios y Equipos para Alquilar
account_group_template_254_254,254,Monumentos y Obras de Arte,Monumentos y Obras de Arte
account_group_template_255_255,255,Activos Fijos Intangibles,Activos Fijos Intangibles
account_group_template_264_264,264,Activos Fijos Intangibles en Proceso,Activos Fijos Intangibles en Proceso
account_group_template_265_268,265,Inversiones en Proceso,Inversiones en Proceso
account_group_template_279_279,279,Plan de Preparación de Inversiones,Plan de Preparación de Inversiones
account_group_template_280-289,280,Equipos por Instalar y Materiales para el Proceso Inversionista,Equipos por Instalar y Materiales para el Proceso Inversionista
account_group_template_290_290,290,Adquisición de Activos Fijos Tangibles Nuevos,Adquisición de Activos Fijos Tangibles Nuevos
account_group_template_291_291,291,Compra de Activos Fijos Tangibles de Uso,Compra de Activos Fijos Tangibles de Uso
account_group_template_292_292,292,Compra de Activos Fijos Intangibles,Compra de Activos Fijos Intangibles
account_group_template_activos_diferidos,30,ACTIVOS DIFERIDOS,ACTIVOS DIFERIDOS
account_group_template_300-305,300,Saldo al Inicio del Año,Saldo al Inicio del Año
account_group_template_306_307,306,Saldo al Inicio del Año,Saldo al Inicio del Año
account_group_template_310_311,310,Saldo al Inicio del Año,Saldo al Inicio del Año
account_group_template_312_312,312,Saldo al Inicio del Año,Saldo al Inicio del Año
account_group_template_otros_activos,33,OTROS ACTIVOS,OTROS ACTIVOS
account_group_template_330_331,330,Pérdidas en Investigación,Pérdidas en Investigación
account_group_template_332_333,332,Faltantes de Bienes en Investigación,Faltantes de Bienes en Investigación
account_group_template_334_341,334,Cuentas por Cobrar Diversas - Operaciones Corrientes,Cuentas por Cobrar Diversas - Operaciones Corrientes
account_group_template_342_342,342,Cuentas por Cobrar - Compra de Monedas,Cuentas por Cobrar - Compra de Monedas
account_group_template_343_345,343,Cuentas por Cobrar del Proceso Inversionista,Cuentas por Cobrar del Proceso Inversionista
account_group_template_346_346,346,Efectos por Cobrar en Litigio,Efectos por Cobrar en Litigio
account_group_template_347_347,347,Cuentas por Cobrar en Litigio,Cuentas por Cobrar en Litigio
account_group_template_348,348,Efectos por Cobrar Protestados,Efectos por Cobrar Protestados
account_group_template_349_349,349,Cuentas por Cobrar en Proceso Judicial,Cuentas por Cobrar en Proceso Judicial
account_group_template_354_355,354,Depósitos y Fianzas,Depósitos y Fianzas
account_group_template_363_363,363,Bonos Redimidos,Bonos Redimidos
account_group_template_364_364,364,Fondo de Amortización de Bonos - Efectivo y Valores,Fondo de Amortización de Bonos - Efectivo y Valores
account_group_template_reguladoras_de_activos,36,CUENTAS REGULADORAS DE ACTIVOS,CUENTAS REGULADORAS DE ACTIVOS
account_group_template_365_365,365,Efectos por Cobrar Descontados,Efectos por Cobrar Descontados
account_group_template_366_366,366,Desgaste de Base Material de Estudio,Desgaste de Base Material de Estudio
account_group_template_367_367,367,Desgaste de Vestuario y Lencería,Desgaste de Vestuario y Lencería
account_group_template_369_369,369,Provisión para Cuentas Incobrables,Provisión para Cuentas Incobrables
account_group_template_370_372,370,Descuento Comercial e Impuesto,Descuento Comercial e Impuesto
account_group_template_373_373,373,Desgaste de Útiles y Herramientas,Desgaste de Útiles y Herramientas
account_group_template_374_374,374,Otras Provisiones Reguladoras de Activos,Otras Provisiones Reguladoras de Activos
account_group_template_375_388,375,Depreciación de Activos Fijos Tangibles,Depreciación de Activos Fijos Tangibles
account_group_template_389_389,389,Desgaste de Medios y Equipos para Alquilar,Desgaste de Medios y Equipos para Alquilar
account_group_template_390_399,390,Amortización de Activos Fijos Intangibles,Amortización de Activos Fijos Intangibles
account_group_template_pasivos_circulantes,40,PASIVOS CIRCULANTES,PASIVOS CIRCULANTES
account_group_template_400_400,400,Sobregiro Bancario,Sobregiro Bancario
account_group_template_401_404,401,Efectos por Pagar a Corto Plazo,Efectos por Pagar a Corto Plazo
account_group_template_405_415,405,Cuentas por Pagar a Corto Plazo,Cuentas por Pagar a Corto Plazo
account_group_template_416_416,416,Cobros por Cuenta de Terceros,Cobros por Cuenta de Terceros
account_group_template_417_417,417,Dividendos y Participaciones por Pagar,Dividendos y Participaciones por Pagar
account_group_template_418_420,418,Cuentas en Participación,Cuentas en Participación
account_group_template_421_424,421,Cuentas por Pagar - Activos Fijos Tangibles,Cuentas por Pagar - Activos Fijos Tangibles
account_group_template_425_429,425,Cuentas por Pagar del Proceso Inversionista,Cuentas por Pagar del Proceso Inversionista
account_group_template_430_433,430,Cobros Anticipados,Cobros Anticipados
account_group_template_434_434,434,Materiales Recibidos de Forma Anticipada,Materiales Recibidos de Forma Anticipada
account_group_template_435_439,435,Depósitos Recibidos,Depósitos Recibidos
account_group_template_440_449,440,Obligaciones con el Presupuesto del Estado,Obligaciones con el Presupuesto del Estado
account_group_template_450_453,450,Obligaciones con el Órgano u Organismo,Obligaciones con el Órgano u Organismo
account_group_template_455_459,455,Nóminas por Pagar,Nóminas por Pagar
account_group_template_460_469,460,Retenciones por Pagar,Retenciones por Pagar
account_group_template_470_479,470,Préstamos Recibidos y Otras Operaciones Crediticias por pagar,Préstamos Recibidos y Otras Operaciones Crediticias por pagar
account_group_template_480_489,480,Gastos Acumulados por Pagar,Gastos Acumulados por Pagar
account_group_template_492_492,492,Provisión para Vacaciones,Provisión para Vacaciones
account_group_template_493_499,493,Otras Provisiones Operacionales,Otras Provisiones Operacionales
account_group_template_500_500,500,Provisión para Pagos de los Subsidios de Seguridad Social a corto plazo,Provisión para Pagos de los Subsidios de Seguridad Social a corto plazo
