"id","sequence","active","type_tax_use","description","name","amount","amount_type","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_ivs_10_sale","10","True","sale","IVS 10%","IVS 10% Ventas","10","percent","tax_group_ivs","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_4600000","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_4600000","100"
"tax_ivs_10_purchase","20","True","purchase","IVS 10% Compras","IVS 10% Compras","10","percent","tax_group_ivs","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_8050000","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_8050000","100"
"tax_fuerza_trabajo_5","30","True","sale","IFT 5%","Imp. Fuerza de Trabajo 5%","5","percent","tax_group_fuerza_trabajo","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_4600000","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_4600000","100"
"tax_retencion_onat_10","40","True","sale","ONAT 10%","Retención ONAT 10%","10","percent","tax_group_retention","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_4600000","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_4600000","100"
