"id","sequence","active","type_tax_use","description","name","amount","amount_type","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_tcp_ivs_10_sale","10","True","sale","IVS 10% TCP","IVS 10% Ventas TCP","10","percent","tax_group_ivs","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_tcp_8100001","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_tcp_8100001","100"
"tax_tcp_servicios_10_sale","20","True","sale","ISP 10% TCP","Imp. Servicios Públicos 10% TCP","10","percent","tax_group_ivs","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_tcp_8100002","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_tcp_8100002","100"
"tax_tcp_fuerza_trabajo_5","30","True","sale","IFT 5% TCP","Imp. Fuerza de Trabajo 5% TCP","5","percent","tax_group_fuerza_trabajo","False","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_tcp_8100003","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_tcp_8100003","100"
